ticker,quarter,filename,call_date,call_time_gmt,call_time_et,call_datetime_gmt,call_datetime_et,taq_start_time,taq_end_time,day_of_week,is_market_hours
CAG,Q3_2022,CAG_Q3_2022.txt,2022-07-14,13:30:00,09:30:00,2022-07-14 13:30:00,2022-07-14 09:30:00,07:30:00,11:30:00,Thursday,True
HAS,Q3_2022,HAS_Q3_2022.txt,2022-07-19,12:30:00,08:30:00,2022-07-19 12:30:00,2022-07-19 08:30:00,06:30:00,10:30:00,Tuesday,False
HOPE,Q3_2022,HOPE_Q3_2022.txt,2022-07-20,16:30:00,12:30:00,2022-07-20 16:30:00,2022-07-20 12:30:00,10:30:00,14:30:00,Wednesday,True
DHR,Q3_2022,DHR_Q3_2022.txt,2022-07-21,12:00:00,08:00:00,2022-07-21 12:00:00,2022-07-21 08:00:00,06:00:00,10:00:00,Thursday,False
CLF,Q3_2022,CLF_Q3_2022.txt,2022-07-22,14:00:00,10:00:00,2022-07-22 14:00:00,2022-07-22 10:00:00,08:00:00,12:00:00,Friday,True
TENB,Q3_2022,TENB_Q3_2022.txt,2022-07-26,20:30:00,16:30:00,2022-07-26 20:30:00,2022-07-26 16:30:00,14:30:00,18:30:00,Tuesday,False
BA,Q3_2022,BA_Q3_2022.txt,2022-07-27,14:30:00,10:30:00,2022-07-27 14:30:00,2022-07-27 10:30:00,08:30:00,12:30:00,Wednesday,True
ETSY,Q3_2022,ETSY_Q3_2022.txt,2022-07-27,21:00:00,17:00:00,2022-07-27 21:00:00,2022-07-27 17:00:00,15:00:00,19:00:00,Wednesday,False
BAX,Q3_2022,BAX_Q3_2022.txt,2022-07-28,12:30:00,08:30:00,2022-07-28 12:30:00,2022-07-28 08:30:00,06:30:00,10:30:00,Thursday,False
HOG,Q3_2022,HOG_Q3_2022.txt,2022-07-28,13:00:00,09:00:00,2022-07-28 13:00:00,2022-07-28 09:00:00,07:00:00,11:00:00,Thursday,True
XEL,Q3_2022,XEL_Q3_2022.txt,2022-07-28,14:00:00,10:00:00,2022-07-28 14:00:00,2022-07-28 10:00:00,08:00:00,12:00:00,Thursday,True
ORLY,Q3_2022,ORLY_Q3_2022.txt,2022-07-28,15:00:00,11:00:00,2022-07-28 15:00:00,2022-07-28 11:00:00,09:00:00,13:00:00,Thursday,True
FTV,Q3_2022,FTV_Q3_2022.txt,2022-07-28,16:00:00,12:00:00,2022-07-28 16:00:00,2022-07-28 12:00:00,10:00:00,14:00:00,Thursday,True
LUV,Q3_2022,LUV_Q3_2022.txt,2022-07-28,16:30:00,12:30:00,2022-07-28 16:30:00,2022-07-28 12:30:00,10:30:00,14:30:00,Thursday,True
EIX,Q3_2022,EIX_Q3_2022.txt,2022-07-28,20:30:00,16:30:00,2022-07-28 20:30:00,2022-07-28 16:30:00,14:30:00,18:30:00,Thursday,False
ABBV,Q3_2022,ABBV_Q3_2022.txt,2022-07-29,13:00:00,09:00:00,2022-07-29 13:00:00,2022-07-29 09:00:00,07:00:00,11:00:00,Friday,True
MHK,Q3_2022,MHK_Q3_2022.txt,2022-07-29,15:00:00,11:00:00,2022-07-29 15:00:00,2022-07-29 11:00:00,09:00:00,13:00:00,Friday,True
INCY,Q3_2022,INCY_Q3_2022.txt,2022-08-02,12:00:00,08:00:00,2022-08-02 12:00:00,2022-08-02 08:00:00,06:00:00,10:00:00,Tuesday,False
EA,Q3_2022,EA_Q3_2022.txt,2022-08-02,21:00:00,17:00:00,2022-08-02 21:00:00,2022-08-02 17:00:00,15:00:00,19:00:00,Tuesday,False
UNM,Q3_2022,UNM_Q3_2022.txt,2022-08-03,12:00:00,08:00:00,2022-08-03 12:00:00,2022-08-03 08:00:00,06:00:00,10:00:00,Wednesday,False
CRL,Q3_2022,CRL_Q3_2022.txt,2022-08-03,13:30:00,09:30:00,2022-08-03 13:30:00,2022-08-03 09:30:00,07:30:00,11:30:00,Wednesday,True
RELY,Q3_2022,RELY_Q3_2022.txt,2022-08-03,21:00:00,17:00:00,2022-08-03 21:00:00,2022-08-03 17:00:00,15:00:00,19:00:00,Wednesday,False
YETI,Q3_2022,YETI_Q3_2022.txt,2022-08-04,12:00:00,08:00:00,2022-08-04 12:00:00,2022-08-04 08:00:00,06:00:00,10:00:00,Thursday,False
LNC,Q3_2022,LNC_Q3_2022.txt,2022-08-04,14:00:00,10:00:00,2022-08-04 14:00:00,2022-08-04 10:00:00,08:00:00,12:00:00,Thursday,True
WMS,Q3_2022,WMS_Q3_2022.txt,2022-08-04,14:00:00,10:00:00,2022-08-04 14:00:00,2022-08-04 10:00:00,08:00:00,12:00:00,Thursday,True
